restaurant_id,product_family_id,month,day_of_week,is_weekend,week_of_year,price_scaled,units_sold,qsp_score,operational_anomaly,units_lag_30,qsp_lag_30,units_lag_60,qsp_lag_60,units_rolling_mean_30,qsp_rolling_mean_30,units_rolling_mean_60,qsp_rolling_mean_60,anomaly_count_60d,region_Paris,region_Lyon,region_Marseille,region_Toulouse,region_Lille,region_Bordeaux,region_Nantes,region_Strasbourg,region_Rennes,region_Nice,cat_Poulet,cat_Sandwich,cat_Autre,cat_Boisson,cat_Dessert,gap_percentage
1,4,1,4,0,2,-0.999722183631255,24,0.8,0,41.0,0.86,71.0,0.91,52.333333333333336,0.8533333333333333,47.6,0.8340000000000001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9204131944444565
1,7,1,5,1,2,0.999722183631255,23,0.95,0,76.0,0.91,46.0,0.9,54.06666666666667,0.853,47.26315789473684,0.8381578947368421,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.640413194444436
1,3,1,5,1,2,0.999722183631255,32,0.86,0,35.0,0.88,62.0,0.76,53.166666666666664,0.857,47.64102564102564,0.8361538461538461,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9804131944444534
1,8,1,5,1,2,-0.999722183631255,78,0.92,0,35.0,0.83,73.0,0.79,51.9,0.8583333333333333,48.275,0.835,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.460413194444428
1,1,1,5,1,2,0.999722183631255,53,0.8,0,70.0,0.78,45.0,0.86,52.733333333333334,0.8556666666666666,48.19512195121951,0.8356097560975609,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.360413194444445
1,2,1,5,1,2,-0.999722183631255,68,0.85,0,59.0,0.9,33.0,0.77,53.6,0.86,47.833333333333336,0.834047619047619,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.290413194444436
1,4,1,5,1,2,-0.999722183631255,40,0.94,0,60.0,0.88,70.0,0.93,53.266666666666666,0.8583333333333333,48.348837209302324,0.8362790697674419,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.080413194444448
1,7,1,6,1,2,0.999722183631255,39,0.91,0,72.0,0.93,61.0,0.88,53.7,0.8576666666666667,48.97826086956522,0.8406521739130435,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.570413194444458
1,3,1,6,1,2,0.999722183631255,61,0.77,0,51.0,0.88,43.0,0.8,53.96666666666667,0.8603333333333333,48.851063829787236,0.8397872340425532,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.140413194444457
1,8,1,6,1,2,-0.999722183631255,58,0.85,0,34.0,0.77,53.0,0.93,53.333333333333336,0.855,48.9375,0.8416666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.200413194444429
1,1,1,6,1,2,0.999722183631255,66,0.77,0,28.0,0.82,41.0,0.78,52.9,0.8563333333333334,48.775510204081634,0.8404081632653061,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.430413194444435
1,2,1,6,1,2,-0.999722183631255,54,0.82,0,79.0,0.83,63.0,0.76,53.43333333333333,0.8586666666666666,49.06,0.8388,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.7304131944444485
1,4,1,6,1,2,-0.999722183631255,60,0.79,0,76.0,0.85,66.0,0.83,53.766666666666666,0.8593333333333334,49.3921568627451,0.8386274509803923,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4504131944444394
1,7,1,0,0,3,0.999722183631255,54,0.76,0,40.0,0.87,34.0,0.9,52.766666666666666,0.8573333333333333,49.18518518518518,0.8407407407407407,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0504131944444435
1,3,1,0,0,3,0.999722183631255,45,0.82,0,60.0,0.75,68.0,0.88,52.5,0.853,49.527272727272724,0.8414545454545455,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.940413194444443
1,8,1,0,0,3,-0.999722183631255,71,0.83,0,61.0,0.77,34.0,0.84,53.4,0.8506666666666667,49.25,0.8414285714285714,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4904131944444563
1,1,1,0,0,3,0.999722183631255,37,0.88,0,52.0,0.85,78.0,0.81,52.53333333333333,0.8520000000000001,49.75438596491228,0.8408771929824561,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.570413194444427
1,2,1,0,0,3,-0.999722183631255,77,0.93,0,53.0,0.83,33.0,0.89,53.2,0.85,49.46551724137931,0.8417241379310345,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.3404131944444515
1,4,1,0,0,3,-0.999722183631255,42,0.85,0,33.0,0.9,69.0,0.94,52.0,0.8486666666666666,49.79661016949152,0.8433898305084745,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.37041319444445
1,7,1,1,0,3,0.999722183631255,46,0.85,0,74.0,0.86,69.0,0.82,51.4,0.8533333333333334,50.5,0.8443333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.720413194444456
1,3,1,1,0,3,0.999722183631255,22,0.79,0,67.0,0.76,42.0,0.76,52.233333333333334,0.8533333333333333,50.7,0.8430000000000001,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.570413194444433
1,8,1,1,0,3,-0.999722183631255,35,0.88,0,65.0,0.92,35.0,0.94,53.233333333333334,0.8526666666666667,50.3,0.8438333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1804131944444425
1,1,1,1,0,3,0.999722183631255,57,0.94,0,24.0,0.8,41.0,0.86,52.666666666666664,0.8506666666666668,50.63333333333333,0.8433333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.550413194444441
1,2,1,1,0,3,-0.999722183631255,58,0.78,0,63.0,0.77,32.0,0.88,53.7,0.847,50.81666666666667,0.8448333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.700413194444444
1,4,1,1,0,3,-0.999722183631255,39,0.81,0,36.0,0.83,74.0,0.86,52.43333333333333,0.846,51.53333333333333,0.8446666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.330413194444452
1,7,1,2,0,3,0.999722183631255,67,0.94,0,78.0,0.92,35.0,0.83,52.0,0.8496666666666666,51.6,0.8486666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.9304131944444505
1,3,1,2,0,3,0.999722183631255,72,0.77,0,53.0,0.8,70.0,0.78,51.43333333333333,0.8503333333333334,52.15,0.8475,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.200413194444429
1,8,1,2,0,3,-0.999722183631255,43,0.89,0,68.0,0.85,59.0,0.9,51.733333333333334,0.8486666666666666,52.13333333333333,0.8493333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.040413194444425
1,1,1,2,0,3,0.999722183631255,24,0.9,0,40.0,0.94,60.0,0.88,51.06666666666667,0.8506666666666667,52.583333333333336,0.8503333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.2104131944444467
1,2,1,2,0,3,-0.999722183631255,77,0.85,0,70.0,0.78,69.0,0.81,51.1,0.8496666666666667,53.28333333333333,0.8485,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.78041319444444
1,4,1,2,0,3,-0.999722183631255,68,0.87,0,66.0,0.94,46.0,0.95,51.766666666666666,0.8493333333333333,53.18333333333333,0.85,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.8204131944444373
1,7,1,3,0,3,0.999722183631255,30,0.78,0,58.0,0.85,34.0,0.77,51.8,0.8476666666666667,53.28333333333333,0.8501666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4104131944444296
1,3,1,3,0,3,0.999722183631255,60,0.88,0,66.0,0.77,28.0,0.82,53.06666666666667,0.846,52.85,0.8493333333333333,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.000413194444428
1,8,1,3,0,3,-0.999722183631255,73,0.81,0,54.0,0.82,79.0,0.83,52.233333333333334,0.8456666666666667,53.5,0.8481666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6704131944444462
1,1,1,3,0,3,0.999722183631255,26,0.87,0,60.0,0.79,76.0,0.85,51.7,0.8436666666666667,53.5,0.8495,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.160413194444431
1,2,1,3,0,3,-0.999722183631255,31,0.76,0,55.0,0.92,24.0,0.88,52.733333333333334,0.8450000000000001,52.61666666666667,0.8514999999999999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2804131944444674
1,4,1,3,0,3,-0.999722183631255,36,0.92,0,22.0,0.83,43.0,0.82,52.03333333333333,0.8453333333333333,52.93333333333333,0.8501666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9804131944444534
1,7,1,4,0,3,0.999722183631255,71,0.88,0,71.0,0.83,61.0,0.77,52.333333333333336,0.846,53.7,0.8506666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8104131944444446
1,3,1,4,0,3,0.999722183631255,63,0.85,0,37.0,0.88,52.0,0.85,51.833333333333336,0.847,53.43333333333333,0.8503333333333334,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.970413194444448
1,8,1,4,0,3,-0.999722183631255,71,0.81,0,77.0,0.93,53.0,0.83,52.63333333333333,0.8503333333333334,53.21666666666667,0.8505,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.750413194444448
1,1,1,4,0,3,0.999722183631255,28,0.92,0,42.0,0.85,33.0,0.9,52.93333333333333,0.8486666666666667,53.016666666666666,0.8505,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.850413194444424
1,2,1,4,0,3,-0.999722183631255,54,0.9,0,60.0,0.8,23.0,0.93,54.166666666666664,0.8443333333333333,53.05,0.8509999999999999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.260413194444456
1,4,1,4,0,3,-0.999722183631255,51,0.76,0,37.0,0.89,65.0,0.82,53.233333333333334,0.8466666666666668,52.88333333333333,0.8516666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.6204131944444486
1,7,1,5,1,3,0.999722183631255,36,0.93,0,35.0,0.88,65.0,0.92,49.8,0.846,53.28333333333333,0.8538333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.910413194444464
1,3,1,5,1,3,0.999722183631255,54,0.82,0,57.0,0.94,24.0,0.8,50.9,0.8506666666666667,52.5,0.8520000000000001,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.460413194444439
1,8,1,5,1,3,-0.999722183631255,77,0.86,0,58.0,0.78,63.0,0.77,50.733333333333334,0.8509999999999999,52.65,0.8509999999999999,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1104131944444524
1,1,1,5,1,3,0.999722183631255,34,0.83,0,39.0,0.81,36.0,0.83,50.833333333333336,0.8503333333333334,52.75,0.8493333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.280413194444461
1,2,1,5,1,3,-0.999722183631255,78,0.76,0,63.0,0.84,23.0,0.95,52.166666666666664,0.8466666666666668,52.36666666666667,0.8501666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.280413194444455
1,4,1,5,1,3,-0.999722183631255,23,0.83,0,32.0,0.92,32.0,0.86,52.166666666666664,0.8486666666666667,51.86666666666667,0.8518333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.310413194444441
1,7,1,6,1,3,0.999722183631255,23,0.77,0,43.0,0.89,68.0,0.85,51.6,0.8496666666666667,52.666666666666664,0.8543333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.900413194444458
1,3,1,6,1,3,0.999722183631255,59,0.77,0,24.0,0.9,40.0,0.94,51.06666666666667,0.8483333333333333,52.166666666666664,0.8545,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6304131944444418
1,8,1,6,1,3,-0.999722183631255,22,0.81,0,77.0,0.85,70.0,0.78,51.3,0.8506666666666667,52.63333333333333,0.8523333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.660413194444441
1,1,1,6,1,3,0.999722183631255,68,0.94,0,68.0,0.87,66.0,0.94,51.36666666666667,0.8483333333333334,52.55,0.8526666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.680413194444452
1,2,1,6,1,3,-0.999722183631255,21,0.87,0,78.0,0.84,39.0,0.91,52.666666666666664,0.8460000000000001,52.18333333333333,0.8531666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.870413194444441
1,4,1,6,1,3,-0.999722183631255,57,0.78,0,74.0,0.92,61.0,0.77,53.1,0.8510000000000001,52.483333333333334,0.8526666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.830413194444443
1,7,1,0,0,4,0.999722183631255,71,0.83,0,73.0,0.81,54.0,0.82,52.6,0.852,52.833333333333336,0.8521666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.740413194444455
1,3,1,0,0,4,0.999722183631255,44,0.94,0,26.0,0.87,60.0,0.79,51.46666666666667,0.8546666666666667,52.733333333333334,0.8514999999999999,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9604131944444543
1,8,1,0,0,4,-0.999722183631255,37,0.79,0,31.0,0.76,55.0,0.92,50.666666666666664,0.8493333333333334,53.233333333333334,0.8518333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.3504131944444517
1,1,1,0,0,4,0.999722183631255,76,0.87,0,36.0,0.92,22.0,0.83,51.13333333333333,0.8523333333333334,52.3,0.8518333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1804131944444425
1,2,1,0,0,4,-0.999722183631255,57,0.92,0,39.0,0.89,54.0,0.76,50.63333333333333,0.8566666666666667,52.63333333333333,0.8495,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.680413194444457
1,4,1,0,0,4,-0.999722183631255,63,0.83,0,67.0,0.82,45.0,0.82,51.36666666666667,0.8566666666666667,52.25,0.8484999999999999,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.700413194444432
1,7,1,1,0,4,0.999722183631255,41,0.93,0,71.0,0.81,77.0,0.93,52.03333333333333,0.8533333333333333,52.916666666666664,0.8501666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.03041319444442
1,3,1,1,0,4,0.999722183631255,44,0.83,0,28.0,0.92,42.0,0.85,51.56666666666667,0.8556666666666667,52.46666666666667,0.8486666666666667,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.410413194444448
1,8,1,1,0,4,-0.999722183631255,70,0.88,0,54.0,0.9,60.0,0.8,51.36666666666667,0.859,52.583333333333336,0.8485,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0504131944444315
1,1,1,1,0,4,0.999722183631255,42,0.87,0,51.0,0.76,37.0,0.89,51.833333333333336,0.8546666666666667,52.233333333333334,0.8493333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4804131944444503
1,2,1,1,0,4,-0.999722183631255,37,0.87,0,33.0,0.93,46.0,0.85,51.4,0.8573333333333334,51.85,0.8498333333333332,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.040413194444438
1,4,1,1,0,4,-0.999722183631255,76,0.79,0,63.0,0.91,22.0,0.79,52.766666666666666,0.8613333333333333,51.516666666666666,0.8503333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5604131944444517
1,7,1,2,0,4,0.999722183631255,36,0.81,0,77.0,0.86,58.0,0.78,53.333333333333336,0.8616666666666667,52.21666666666667,0.849,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.6604131944444465
1,3,1,2,0,4,0.999722183631255,37,0.83,0,34.0,0.83,39.0,0.81,53.166666666666664,0.8623333333333333,51.63333333333333,0.8481666666666666,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.6404131944444478
1,8,1,2,0,4,-0.999722183631255,34,0.76,0,78.0,0.76,63.0,0.84,53.666666666666664,0.8596666666666667,51.416666666666664,0.847,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.590413194444438
1,1,1,2,0,4,0.999722183631255,69,0.88,0,23.0,0.83,32.0,0.92,53.36666666666667,0.8566666666666668,51.36666666666667,0.8476666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.350413194444439
1,2,1,2,0,4,-0.999722183631255,22,0.88,0,64.0,0.89,67.0,0.94,53.266666666666666,0.855,51.9,0.8495,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.370413194444444
1,4,1,2,0,4,-0.999722183631255,53,0.91,0,61.0,0.91,72.0,0.77,52.9,0.8596666666666667,51.93333333333333,0.8493333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.2604131944444505
1,7,1,3,0,4,0.999722183631255,61,0.86,0,22.0,0.81,77.0,0.85,51.56666666666667,0.85,51.2,0.8501666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5404131944444286
1,3,1,3,0,4,0.999722183631255,35,0.89,0,68.0,0.94,68.0,0.87,51.56666666666667,0.8523333333333334,51.56666666666667,0.8488333333333333,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4304131944444345
1,8,1,3,0,4,-0.999722183631255,46,0.89,0,21.0,0.87,78.0,0.84,49.666666666666664,0.8533333333333333,51.666666666666664,0.8473333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0604131944444246
1,1,1,3,0,4,0.999722183631255,78,0.91,0,57.0,0.78,74.0,0.92,49.1,0.8486666666666667,52.05,0.8480000000000001,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.190413194444436
1,2,1,3,0,4,-0.999722183631255,55,0.85,0,29.0,0.89,30.0,0.78,49.06666666666667,0.8523333333333334,51.983333333333334,0.8481666666666665,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.280413194444455
1,4,1,3,0,4,-0.999722183631255,44,0.89,0,78.0,0.88,60.0,0.88,49.666666666666664,0.8523333333333334,52.516666666666666,0.8491666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.810413194444432
1,7,1,4,0,4,0.999722183631255,76,0.8,0,37.0,0.79,31.0,0.76,50.4,0.8563333333333333,51.7,0.8471666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.480413194444469
1,3,1,4,0,4,0.999722183631255,78,0.91,0,76.0,0.87,36.0,0.92,51.733333333333334,0.8546666666666667,51.583333333333336,0.8488333333333333,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9804131944444414
1,8,1,4,0,4,-0.999722183631255,71,0.92,0,57.0,0.92,39.0,0.89,52.333333333333336,0.8556666666666667,51.56666666666667,0.8491666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.450413194444434
1,1,1,4,0,4,0.999722183631255,46,0.8,0,63.0,0.83,67.0,0.82,52.2,0.856,51.68333333333333,0.8503333333333334,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.240413194444427
1,2,1,4,0,4,-0.999722183631255,61,0.76,0,36.0,0.87,71.0,0.88,51.03333333333333,0.8556666666666667,51.85,0.8521666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.930413194444462
1,4,1,4,0,4,-0.999722183631255,30,0.91,0,65.0,0.75,63.0,0.85,51.1,0.8523333333333334,52.03333333333333,0.8521666666666666,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.980413194444441
1,7,1,5,1,4,0.999722183631255,74,0.95,0,70.0,0.88,54.0,0.9,51.166666666666664,0.8526666666666667,52.766666666666666,0.8516666666666667,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.120413194444458
1,3,1,5,1,4,0.999722183631255,32,0.76,0,42.0,0.87,51.0,0.76,50.86666666666667,0.8563333333333333,52.53333333333333,0.8506666666666667,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9904131944444465
1,8,1,5,1,4,-0.999722183631255,29,0.89,0,37.0,0.87,33.0,0.93,51.0,0.8543333333333333,51.85,0.8518333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1504131944444382
1,1,1,5,1,4,0.999722183631255,70,0.85,0,76.0,0.79,63.0,0.91,51.43333333333333,0.8503333333333333,51.78333333333333,0.8543333333333333,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.980413194444448
