transaction_id,date,restaurant_id,restaurant_name,product_family,theoretical_unit_cost,actual_unit_cost,selling_price,units_sold,revenue,waste_kg,qsp_score,operational_anomaly,calculated_gap_percentage,theoretical_cos,actual_cos,cos_gap,gap_percentage,gap_severity
10035,2024-01-01,5,KFC Lille Centre,Burger Poulet,3.1,3.2423028090277777,6.82,41,279.62,0.054,0.93,False,4.590413194444444,0.4545454545454546,0.47541096906565655,0.020865514520201967,4.590413194444432,MODÉRÉ
10036,2024-01-01,5,KFC Lille Centre,Wraps & Salades,3.5,3.663464461805555,7.7,56,431.2,0.075,0.94,False,4.6704131944444445,0.45454545454545453,0.4757746054292929,0.021229150883838366,4.670413194444441,MODÉRÉ
10037,2024-01-01,5,KFC Lille Centre,Accompagnements,1.5,1.5802561979166667,3.3,24,79.2,0.036,0.86,False,5.350413194444444,0.45454545454545453,0.47886551452020204,0.02432005997474751,5.350413194444452,ÉLEVÉ
10038,2024-01-01,5,KFC Lille Centre,Boissons,0.8,0.8349633055555556,1.76,58,102.08,0.074,0.76,False,4.370413194444445,0.4545454545454546,0.4744109690656566,0.01986551452020202,4.370413194444444,MODÉRÉ
10039,2024-01-01,5,KFC Lille Centre,Desserts,2.2,2.301429090277778,4.84,45,217.8,0.06,0.76,False,4.610413194444444,0.4545454545454546,0.47550187815656564,0.020956423611111052,4.6104131944444315,MODÉRÉ
10040,2024-01-01,5,KFC Lille Centre,Petits Déjeuners,2.5,2.595260329861111,5.5,51,280.5,0.057,0.88,False,3.810413194444444,0.45454545454545453,0.471865514520202,0.017320059974747448,3.810413194444439,MODÉRÉ
10041,2024-01-01,6,KFC Bordeaux Quinconces,Poulet Frit,4.2,4.351637354166667,9.24,51,471.24,0.055,0.89,False,3.610413194444444,0.4545454545454546,0.4709564236111111,0.016410969065656533,3.610413194444437,MODÉRÉ
10042,2024-01-01,6,KFC Bordeaux Quinconces,Sandwichs,2.8,2.8823315694444442,6.16,58,357.28,0.053,0.83,False,2.9404131944444445,0.45454545454545453,0.46791096906565655,0.013365514520202015,2.9404131944444436,MODÉRÉ
10043,2024-01-01,6,KFC Bordeaux Quinconces,Burger Poulet,3.1,3.216572809027778,6.82,55,375.1,0.061,0.94,False,3.7604131944444443,0.45454545454545453,0.4716382417929293,0.01709278724747476,3.7604131944444474,MODÉRÉ
10044,2024-01-01,6,KFC Bordeaux Quinconces,Wraps & Salades,3.5,3.6330144618055553,7.7,70,539.0,0.079,0.78,False,3.8004131944444444,0.45454545454545453,0.4718200599747474,0.017274605429292877,3.8004131944444333,MODÉRÉ
10045,2024-01-01,6,KFC Bordeaux Quinconces,Accompagnements,1.5,1.5664561979166667,3.3,64,211.2,0.082,0.81,False,4.430413194444444,0.4545454545454546,0.47468369633838386,0.02013824179292928,4.430413194444441,MODÉRÉ
10046,2024-01-01,6,KFC Bordeaux Quinconces,Boissons,0.8,0.8216833055555557,1.76,47,82.72,0.04,0.91,False,2.7104131944444445,0.4545454545454546,0.46686551452020214,0.012320059974747555,2.710413194444462,MODÉRÉ
10047,2024-01-01,6,KFC Bordeaux Quinconces,Desserts,2.2,2.267989090277778,4.84,49,237.16,0.046,0.93,False,3.0904131944444444,0.4545454545454546,0.46859278724747483,0.014047332702020243,3.0904131944444533,MODÉRÉ
10048,2024-01-01,6,KFC Bordeaux Quinconces,Petits Déjeuners,2.5,2.575510329861111,5.5,74,407.0,0.069,0.93,False,3.0204131944444446,0.45454545454545453,0.4682746054292929,0.013729150883838359,3.020413194444439,MODÉRÉ
10049,2024-01-01,7,KFC Nantes Erdre,Poulet Frit,4.2,4.415057354166668,9.24,52,480.48,0.076,0.8,False,5.120413194444445,0.45454545454545453,0.4778200599747475,0.023274605429292994,5.120413194444459,ÉLEVÉ
10050,2024-01-01,7,KFC Nantes Erdre,Sandwichs,2.8,2.9386115694444443,6.16,76,468.16,0.107,0.91,False,4.950413194444445,0.4545454545454545,0.47704733270202015,0.02250187815656568,4.95041319444445,MODÉRÉ
10051,2024-01-01,7,KFC Nantes Erdre,Burger Poulet,3.1,3.2661728090277777,6.82,58,395.56,0.088,0.78,False,5.360413194444444,0.4545454545454546,0.47891096906565656,0.02436551452020197,5.360413194444432,ÉLEVÉ
10052,2024-01-01,7,KFC Nantes Erdre,Wraps & Salades,3.5,3.6830644618055555,7.7,56,431.2,0.083,0.89,False,5.230413194444444,0.45454545454545453,0.47832005997474747,0.02377460542929294,5.230413194444447,ÉLEVÉ
10053,2024-01-01,7,KFC Nantes Erdre,Accompagnements,1.5,1.5790561979166666,3.3,43,141.9,0.064,0.94,False,5.270413194444444,0.45454545454545453,0.4785018781565657,0.023956423611111166,5.2704131944444566,ÉLEVÉ
10054,2024-01-01,7,KFC Nantes Erdre,Boissons,0.8,0.8353633055555556,1.76,51,89.76,0.065,0.86,False,4.4204131944444445,0.4545454545454546,0.4746382417929293,0.020092787247474708,4.420413194444436,MODÉRÉ
10055,2024-01-01,7,KFC Nantes Erdre,Desserts,2.2,2.3056090902777777,4.84,68,329.12,0.094,0.8,False,4.800413194444444,0.4545454545454546,0.476365514520202,0.021820059974747397,4.8004131944444275,MODÉRÉ
10056,2024-01-01,7,KFC Nantes Erdre,Petits Déjeuners,2.5,2.611260329861111,5.5,58,319.0,0.075,0.85,False,4.450413194444445,0.45454545454545453,0.4747746054292929,0.020229150883838365,4.45041319444444,MODÉRÉ
10057,2024-01-01,8,KFC Strasbourg Grande Île,Poulet Frit,4.2,4.296617354166667,9.24,68,628.32,0.051,0.95,False,2.3004131944444444,0.45454545454545453,0.4650018781565657,0.010456423611111154,2.300413194444454,MODÉRÉ
10058,2024-01-01,8,KFC Strasbourg Grande Île,Sandwichs,2.8,2.849571569444444,6.16,21,129.36,0.013,0.85,False,1.7704131944444446,0.4545454545454545,0.46259278724747466,0.008047332702020182,1.7704131944444403,FAIBLE
10059,2024-01-01,8,KFC Strasbourg Grande Île,Burger Poulet,3.1,3.154262809027778,6.82,56,381.92,0.034,0.82,False,1.7504131944444445,0.45454545454545453,0.4625018781565656,0.007956423611111096,1.7504131944444414,FAIBLE
10060,2024-01-01,8,KFC Strasbourg Grande Île,Wraps & Salades,3.5,3.5885644618055554,7.7,21,161.7,0.017,0.86,False,2.5304131944444443,0.4545454545454546,0.4660473327020202,0.011501878156565615,2.530413194444435,MODÉRÉ
10061,2024-01-01,8,KFC Strasbourg Grande Île,Accompagnements,1.5,1.5397561979166665,3.3,25,82.5,0.021,0.8,False,2.6504131944444445,0.45454545454545453,0.46659278724747466,0.01204733270202013,2.650413194444429,MODÉRÉ
10062,2024-01-01,8,KFC Strasbourg Grande Île,Boissons,0.8,0.8157633055555555,1.76,30,52.8,0.02,0.82,False,1.9704131944444443,0.4545454545454546,0.4635018781565656,0.008956423611111042,1.970413194444429,FAIBLE
10063,2024-01-01,8,KFC Strasbourg Grande Île,Desserts,2.2,2.240489090277778,4.84,57,275.88,0.036,0.82,False,1.8404131944444444,0.4545454545454546,0.4629109690656566,0.008365514520202011,1.8404131944444422,FAIBLE
10064,2024-01-01,8,KFC Strasbourg Grande Île,Petits Déjeuners,2.5,2.550760329861111,5.5,25,137.5,0.017,0.83,False,2.0304131944444443,0.45454545454545453,0.4637746054292929,0.009229150883838355,2.030413194444438,MODÉRÉ
10065,2024-01-01,9,KFC Rennes Centre,Poulet Frit,4.2,4.457057354166667,9.24,35,323.4,0.06,0.92,False,6.120413194444445,0.4545454545454546,0.4823655145202021,0.027820059974747513,6.120413194444453,ÉLEVÉ
10066,2024-01-01,9,KFC Rennes Centre,Sandwichs,2.8,2.9433715694444444,6.16,25,154.0,0.036,0.89,False,5.120413194444445,0.45454545454545453,0.4778200599747475,0.023274605429292994,5.120413194444459,ÉLEVÉ
10067,2024-01-01,9,KFC Rennes Centre,Burger Poulet,3.1,3.2816728090277776,6.82,79,538.78,0.13,0.89,False,5.860413194444444,0.4545454545454546,0.48118369633838387,0.026638241792929285,5.860413194444442,ÉLEVÉ
10068,2024-01-01,9,KFC Rennes Centre,Wraps & Salades,3.5,3.6827144618055554,7.7,22,169.4,0.033,0.91,False,5.220413194444444,0.45454545454545453,0.4782746054292929,0.023729150883838368,5.220413194444442,ÉLEVÉ
10069,2024-01-01,9,KFC Rennes Centre,Accompagnements,1.5,1.5877561979166666,3.3,26,85.8,0.043,0.78,False,5.850413194444444,0.4545454545454546,0.4811382417929293,0.026592787247474714,5.850413194444436,ÉLEVÉ
10070,2024-01-01,9,KFC Rennes Centre,Boissons,0.8,0.8423233055555557,1.76,58,102.08,0.087,0.94,False,5.290413194444445,0.4545454545454546,0.47859278724747484,0.024047332702020252,5.290413194444455,ÉLEVÉ
10071,2024-01-01,9,KFC Rennes Centre,Desserts,2.2,2.3108890902777777,4.84,47,227.48,0.067,0.9,False,5.040413194444445,0.4545454545454546,0.47745642361111107,0.022910969065656484,5.040413194444426,ÉLEVÉ
10072,2024-01-01,9,KFC Rennes Centre,Petits Déjeuners,2.5,2.6227603298611113,5.5,50,275.0,0.07,0.93,False,4.910413194444445,0.45454545454545453,0.4768655145202021,0.022320059974747564,4.910413194444464,MODÉRÉ
10073,2024-01-01,10,KFC Nice Promenade,Poulet Frit,4.2,4.362137354166666,9.24,79,729.96,0.09,0.78,False,3.860413194444444,0.45454545454545453,0.47209278724747467,0.017547332702020135,3.86041319444443,MODÉRÉ
10074,2024-01-01,10,KFC Nice Promenade,Sandwichs,2.8,2.9142515694444446,6.16,71,437.36,0.085,0.86,False,4.080413194444445,0.4545454545454545,0.4730927872474748,0.018547332702020303,4.080413194444468,MODÉRÉ
10075,2024-01-01,10,KFC Nice Promenade,Burger Poulet,3.1,3.209752809027778,6.82,67,456.94,0.071,0.94,False,3.5404131944444446,0.4545454545454546,0.47063824179292935,0.01609278724747476,3.5404131944444472,MODÉRÉ
10076,2024-01-01,10,KFC Nice Promenade,Wraps & Salades,3.5,3.642114461805555,7.7,51,392.7,0.061,0.88,False,4.060413194444444,0.4545454545454546,0.4730018781565656,0.018456423611110995,4.060413194444418,MODÉRÉ
10077,2024-01-01,10,KFC Nice Promenade,Accompagnements,1.5,1.5621061979166666,3.3,54,178.2,0.065,0.89,False,4.140413194444444,0.4545454545454546,0.47336551452020204,0.01882005997474745,4.140413194444439,MODÉRÉ
10078,2024-01-01,10,KFC Nice Promenade,Boissons,0.8,0.8300033055555556,1.76,39,68.64,0.043,0.93,False,3.7504131944444445,0.4545454545454546,0.4715927872474747,0.017047332702020135,3.7504131944444294,MODÉRÉ
10079,2024-01-01,10,KFC Nice Promenade,Desserts,2.2,2.287569090277778,4.84,43,208.12,0.05,0.92,False,3.980413194444444,0.4545454545454546,0.47263824179292935,0.018092787247474762,3.980413194444447,MODÉRÉ
10080,2024-01-01,10,KFC Nice Promenade,Petits Déjeuners,2.5,2.598510329861111,5.5,55,302.5,0.064,0.93,False,3.940413194444444,0.45454545454545453,0.4724564236111111,0.01791096906565659,3.94041319444445,MODÉRÉ
10081,2024-01-02,1,KFC Paris Louvre,Poulet Frit,4.2,4.343237354166667,9.24,54,498.96,0.055,0.82,False,3.4104131944444447,0.4545454545454546,0.47004733270202026,0.015501878156565674,3.410413194444448,MODÉRÉ
10082,2024-01-02,1,KFC Paris Louvre,Sandwichs,2.8,2.890731569444444,6.16,44,271.04,0.043,0.75,False,3.2404131944444443,0.4545454545454545,0.46927460542929283,0.01472915088383836,3.24041319444444,MODÉRÉ
10083,2024-01-02,1,KFC Paris Louvre,Burger Poulet,3.1,3.1824728090277783,6.82,37,252.34,0.031,0.85,False,2.6604131944444442,0.45454545454545453,0.46663824179292934,0.012092787247474812,2.660413194444459,MODÉRÉ
10084,2024-01-02,1,KFC Paris Louvre,Wraps & Salades,3.5,3.6102644618055555,7.7,60,462.0,0.058,0.79,False,3.1504131944444445,0.45454545454545453,0.46886551452020203,0.014320059974747501,3.1504131944444507,MODÉRÉ
10085,2024-01-02,1,KFC Paris Louvre,Accompagnements,1.5,1.5453061979166667,3.3,33,108.9,0.031,0.82,False,3.0204131944444446,0.45454545454545453,0.4682746054292929,0.013729150883838359,3.020413194444439,MODÉRÉ
10086,2024-01-02,1,KFC Paris Louvre,Boissons,0.8,0.8228033055555555,1.76,27,47.52,0.024,0.92,False,2.850413194444444,0.45454545454545453,0.4675018781565656,0.012956423611111045,2.85041319444443,MODÉRÉ
10087,2024-01-02,1,KFC Paris Louvre,Desserts,2.2,2.267329090277778,4.84,52,251.68,0.049,0.86,False,3.060413194444444,0.45454545454545453,0.4684564236111111,0.013910969065656587,3.060413194444449,MODÉRÉ
10088,2024-01-02,1,KFC Paris Louvre,Petits Déjeuners,2.5,2.567760329861111,5.5,41,225.5,0.035,0.8,False,2.7104131944444445,0.45454545454545453,0.46686551452020203,0.0123200599747475,2.71041319444445,MODÉRÉ
10089,2024-01-02,2,KFC Lyon Part-Dieu,Poulet Frit,4.2,4.2856973541666665,9.24,57,526.68,0.039,0.95,False,2.0404131944444446,0.4545454545454546,0.4638200599747475,0.009274605429292926,2.0404131944444437,MODÉRÉ
10090,2024-01-02,2,KFC Lyon Part-Dieu,Sandwichs,2.8,2.8501315694444442,6.16,27,166.32,0.017,0.88,False,1.7904131944444446,0.45454545454545453,0.46268369633838385,0.008138241792929324,1.7904131944444512,FAIBLE
10091,2024-01-02,2,KFC Lyon Part-Dieu,Burger Poulet,3.1,3.171002809027778,6.82,49,334.18,0.037,0.88,False,2.2904131944444446,0.45454545454545453,0.4649564236111112,0.010410969065656694,2.290413194444473,MODÉRÉ
10092,2024-01-02,2,KFC Lyon Part-Dieu,Wraps & Salades,3.5,3.5829644618055556,7.7,52,400.4,0.04,0.79,False,2.370413194444444,0.4545454545454546,0.4653200599747475,0.010774605429292927,2.3704131944444438,MODÉRÉ
10093,2024-01-02,2,KFC Lyon Part-Dieu,Accompagnements,1.5,1.5408061979166667,3.3,38,125.4,0.033,0.86,False,2.7204131944444443,0.45454545454545453,0.4669109690656566,0.01236551452020207,2.7204131944444554,MODÉRÉ
10094,2024-01-02,2,KFC Lyon Part-Dieu,Boissons,0.8,0.8149633055555556,1.76,36,63.36,0.023,0.95,False,1.8704131944444442,0.4545454545454546,0.46304733270202025,0.008501878156565668,1.8704131944444466,FAIBLE
10095,2024-01-02,2,KFC Lyon Part-Dieu,Desserts,2.2,2.241149090277778,4.84,65,314.6,0.042,0.93,False,1.8704131944444442,0.45454545454545453,0.4630473327020203,0.008501878156565779,1.8704131944444713,FAIBLE
10096,2024-01-02,2,KFC Lyon Part-Dieu,Petits Déjeuners,2.5,2.539260329861111,5.5,60,330.0,0.034,0.94,False,1.5704131944444444,0.45454545454545453,0.46168369633838385,0.007138241792929323,1.5704131944444513,FAIBLE
10097,2024-01-02,3,KFC Marseille Vieux Port,Poulet Frit,4.2,4.541477354166667,9.24,65,600.6,0.143,0.94,True,8.130413194444444,0.45454545454545453,0.49150187815656565,0.03695642361111112,8.130413194444447,ÉLEVÉ
10098,2024-01-02,3,KFC Marseille Vieux Port,Sandwichs,2.8,3.031291569444444,6.16,52,320.32,0.117,0.77,True,8.260413194444446,0.45454545454545453,0.4920927872474747,0.03754733270202015,8.260413194444434,ÉLEVÉ
10099,2024-01-02,3,KFC Marseille Vieux Port,Burger Poulet,3.1,3.342122809027778,6.82,51,347.82,0.108,0.92,True,7.810413194444444,0.45454545454545453,0.4900473327020202,0.03550187815656569,7.810413194444453,ÉLEVÉ
10100,2024-01-02,3,KFC Marseille Vieux Port,Wraps & Salades,3.5,3.7807144618055553,7.7,37,284.9,0.081,0.86,True,8.020413194444444,0.4545454545454546,0.4910018781565656,0.03645642361111101,8.020413194444421,ÉLEVÉ
10101,2024-01-02,3,KFC Marseille Vieux Port,Accompagnements,1.5,1.6341061979166667,3.3,77,254.1,0.185,0.94,True,8.940413194444446,0.45454545454545453,0.4951836963383838,0.0406382417929293,8.940413194444446,ÉLEVÉ
10102,2024-01-02,3,KFC Marseille Vieux Port,Boissons,0.8,0.8573633055555556,1.76,69,121.44,0.136,0.87,True,7.1704131944444445,0.4545454545454546,0.48713824179292936,0.032592787247474775,7.17041319444445,ÉLEVÉ
10103,2024-01-02,3,KFC Marseille Vieux Port,Desserts,2.2,2.384589090277778,4.84,21,101.64,0.048,0.8,True,8.390413194444445,0.4545454545454546,0.49268369633838394,0.03813824179292935,8.390413194444456,ÉLEVÉ
10104,2024-01-02,3,KFC Marseille Vieux Port,Petits Déjeuners,2.5,2.6875103298611114,5.5,45,247.5,0.092,0.9,True,7.500413194444444,0.45454545454545453,0.4886382417929293,0.034092787247474776,7.500413194444451,ÉLEVÉ
10105,2024-01-02,4,KFC Toulouse Capitole,Poulet Frit,4.2,4.326017354166667,9.24,62,572.88,0.057,0.89,False,3.0004131944444445,0.4545454545454546,0.4681836963383838,0.013638241792929218,3.0004131944444277,MODÉRÉ
10106,2024-01-02,4,KFC Toulouse Capitole,Sandwichs,2.8,2.8658115694444444,6.16,61,375.76,0.047,0.91,False,2.350413194444444,0.45454545454545453,0.46522915088383837,0.010683696338383841,2.350413194444445,MODÉRÉ
10107,2024-01-02,4,KFC Toulouse Capitole,Burger Poulet,3.1,3.1871228090277777,6.82,44,300.08,0.039,0.87,False,2.810413194444444,0.4545454545454546,0.46732005997474746,0.012774605429292873,2.8104131944444317,MODÉRÉ
10108,2024-01-02,4,KFC Toulouse Capitole,Wraps & Salades,3.5,3.579814461805556,7.7,26,200.2,0.019,0.85,False,2.2804131944444443,0.4545454545454546,0.4649109690656566,0.010365514520202013,2.2804131944444426,MODÉRÉ
10109,2024-01-02,4,KFC Toulouse Capitole,Accompagnements,1.5,1.5495061979166667,3.3,20,66.0,0.02,0.76,False,3.3004131944444444,0.45454545454545453,0.4695473327020202,0.015001878156565673,3.300413194444448,MODÉRÉ
10110,2024-01-02,4,KFC Toulouse Capitole,Boissons,0.8,0.8160033055555556,1.76,33,58.08,0.022,0.93,False,2.0004131944444445,0.4545454545454546,0.4636382417929293,0.009092787247474698,2.0004131944444334,MODÉRÉ
10111,2024-01-02,4,KFC Toulouse Capitole,Desserts,2.2,2.249289090277778,4.84,47,227.48,0.035,0.87,False,2.2404131944444443,0.4545454545454546,0.4647291508838384,0.01018369633838384,2.2404131944444448,MODÉRÉ
10112,2024-01-02,4,KFC Toulouse Capitole,Petits Déjeuners,2.5,2.553510329861111,5.5,41,225.5,0.029,0.82,False,2.1404131944444442,0.45454545454545453,0.4642746054292929,0.009729150883838356,2.1404131944444384,MODÉRÉ
10113,2024-01-02,5,KFC Lille Centre,Poulet Frit,4.2,4.387337354166666,9.24,41,378.84,0.053,0.87,False,4.4604131944444445,0.45454545454545464,0.47482005997474747,0.020274605429292825,4.4604131944444205,MODÉRÉ
10114,2024-01-02,5,KFC Lille Centre,Sandwichs,2.8,2.907251569444444,6.16,71,437.36,0.08,0.76,False,3.8304131944444446,0.4545454545454545,0.47195642361111106,0.01741096906565659,3.83041319444445,MODÉRÉ
10115,2024-01-02,5,KFC Lille Centre,Burger Poulet,3.1,3.2333128090277783,6.82,62,422.84,0.078,0.78,False,4.300413194444444,0.4545454545454546,0.47409278724747483,0.019547332702020248,4.300413194444454,MODÉRÉ
10116,2024-01-02,5,KFC Lille Centre,Wraps & Salades,3.5,3.6652144618055558,7.7,72,554.4,0.098,0.8,False,4.720413194444444,0.4545454545454546,0.47600187815656575,0.021456423611111164,4.720413194444455,MODÉRÉ
